5.529278574870875873e-02,0.000000000000000000e+00,0.000000000000000000e+00,3.122052408406686061e-02,2.246653084948500856e-02,1.971233866117031927e-02,2.004730805076598149e-02,2.056367179857640851e-02,2.138750313322378138e-02,4.579232416218020213e-02,4.167323753426255273e-02,3.820650601203996743e-02,3.740858719763470036e-02,3.725013120752124207e-02,3.738142560161929889e-02
4.941662386000863355e-02,-5.943833490191501034e-03,-1.082448976424920002e-02,3.141030750180884290e-02,2.216325471929477681e-02,1.888104126992404264e-02,1.909758352284801272e-02,1.941202019322798775e-02,2.017574367097914323e-02,4.590254621959530962e-02,4.120139136834748833e-02,3.677737623107722037e-02,3.553122899549758518e-02,3.539120384054086216e-02,3.635609862075625531e-02
3.938806821444874179e-02,1.905437916993551681e-03,6.364989889167079959e-03,3.098093398604170878e-02,2.245903056768562209e-02,2.001047776475790504e-02,2.052152571682619095e-02,2.086998035521017356e-02,2.164400107290733247e-02,4.560687701171429326e-02,4.159909564801542170e-02,3.742588213680116127e-02,3.633191628257114586e-02,3.633546257111541777e-02,3.722343430169866574e-02
5.607226376372077825e-02,2.556366298727130726e-02,8.779343213073201660e-03,3.106145651632661805e-02,2.236518283927732900e-02,1.978435021733309512e-02,2.060722936346881876e-02,2.114433874445525996e-02,2.222018035639984623e-02,4.654024367216275798e-02,4.262184136425897080e-02,3.821132284032294213e-02,3.717280864104215155e-02,3.732563782257565521e-02,3.782378887696703773e-02
4.616541951502346752e-02,4.319858207178822740e-02,2.276727837328338180e-02,3.128055301141360878e-02,2.261777861360278821e-02,1.998531207495926609e-02,2.075905781992122209e-02,2.135764786898618553e-02,2.243363093470833805e-02,4.641460482872825088e-02,4.259579821610152278e-02,3.793464215594501837e-02,3.699422840057724898e-02,3.723009374673932198e-02,3.672138378058791702e-02
5.205252069063009274e-02,4.740022754065421895e-02,3.943746495690468590e-02,3.098970062515987722e-02,2.297804398504639870e-02,2.068302921277308595e-02,2.160378882499563655e-02,2.216177332465553776e-02,2.344250332400953443e-02,4.596519744100557858e-02,4.247964383020679663e-02,3.874512922456852665e-02,3.817584499179203783e-02,3.839988598989396013e-02,3.873673480344735215e-02
5.380520654099244654e-02,3.201033071318737377e-02,2.467367167390826718e-02,3.076623036339463588e-02,2.375654520601935826e-02,2.166390096147211702e-02,2.232194991330361394e-02,2.264357777955473827e-02,2.363210174643557912e-02,4.582964619813911789e-02,4.260646179927027322e-02,3.853125322587237084e-02,3.737321641632811858e-02,3.728302208753900976e-02,3.774084437644414924e-02
6.641041755831987581e-02,3.375181673696187046e-02,2.110830472474321817e-02,3.100609686589949829e-02,2.406031047768959416e-02,2.212132423360864061e-02,2.255635333503101456e-02,2.266629540406821589e-02,2.344014296529885188e-02,4.633535649792151073e-02,4.328206994580568318e-02,3.893098998221317109e-02,3.726949334405237069e-02,3.695985172919696166e-02,3.728797046075861543e-02
8.108271940291902902e-02,3.911152210396101614e-02,2.152875375923946760e-03,3.152145104973179401e-02,2.449318140796230905e-02,2.207551814202955015e-02,2.192074823244216999e-02,2.180306822157898963e-02,2.233527923937276768e-02,4.673834458449969281e-02,4.334019394611390852e-02,3.868598443773447332e-02,3.686099974513269706e-02,3.635629359779496417e-02,3.594083190890668550e-02
6.399559271629769175e-02,2.671557395331647378e-02,-1.341535859652365908e-02,3.127788586391226644e-02,2.425358760293448712e-02,2.297874606924537461e-02,2.320161442036390229e-02,2.325128198610392286e-02,2.398766612031646983e-02,4.607656233658243006e-02,4.301559091734540041e-02,3.997942951221392788e-02,3.875473185425136469e-02,3.840923687259106128e-02,3.817791237669539151e-02
5.766109076283456453e-02,-7.894722749370010340e-03,-3.768383361717453361e-02,3.163779724041331648e-02,2.445483940607624460e-02,2.309146834563060788e-02,2.324612035036715402e-02,2.337415947239138148e-02,2.419584800326910617e-02,4.663551981253048762e-02,4.244106829182039270e-02,3.850315177792482807e-02,3.752401423291332194e-02,3.742543057687804792e-02,3.695048078599422192e-02
6.458701653332116210e-02,-1.263747929819873835e-02,-4.075352183069363976e-02,3.187811528720148335e-02,2.452528500689274069e-02,2.280231067302883330e-02,2.299478705410090001e-02,2.314326804731718992e-02,2.387785126979203101e-02,4.720535501235550990e-02,4.278465984824744717e-02,3.816950248381976996e-02,3.670583779875337405e-02,3.645316148697329978e-02,3.717805557247607501e-02
5.948404872019099482e-02,-5.326541046413476102e-03,-6.096804788894923111e-02,3.189364888844054002e-02,2.488962976758048867e-02,2.296716437929846241e-02,2.311332067340750307e-02,2.330712877971606936e-02,2.379750467571643477e-02,4.711856701403498854e-02,4.333789365142420857e-02,3.869581597478161800e-02,3.710764996043453695e-02,3.674705831417585111e-02,3.653078264042801393e-02
5.811563533413124927e-02,-2.617270767817942573e-02,-6.284260276186000305e-02,3.151335952297250331e-02,2.474666428516509795e-02,2.298669247908479568e-02,2.320323922899135763e-02,2.339949515027474683e-02,2.387149887795635139e-02,4.723183852049048226e-02,4.267880505010431674e-02,3.801099993108179170e-02,3.635586734636726824e-02,3.604859533519218229e-02,3.629323269816850384e-02
4.918076002486224119e-02,-3.663211832662256751e-02,-6.493277567081180701e-02,3.146645827048871052e-02,2.533098849842649672e-02,2.385656843722611803e-02,2.373661342296877821e-02,2.382287270354569234e-02,2.385010487608003882e-02,4.720822548955096870e-02,4.244260886362077184e-02,3.803600704018791911e-02,3.624070036810910639e-02,3.568364044270542351e-02,3.624074573428331253e-02
5.234365739824040076e-02,-3.509665547861282736e-02,-8.614154413128270737e-02,3.112883676061291641e-02,2.497257235658001048e-02,2.329056836277344084e-02,2.335953598678678841e-02,2.348593529614835529e-02,2.353616345895412701e-02,4.653140416228713355e-02,4.174082349821139210e-02,3.678123884394938342e-02,3.529223722597171764e-02,3.517622360760711692e-02,3.510246970299483321e-02
5.865242381636271568e-02,-5.953139205230291442e-02,-1.028950468464495116e-01,3.151462970354013127e-02,2.523445124974739787e-02,2.353082877709438206e-02,2.374007247065929374e-02,2.400299454878749433e-02,2.407619873285720899e-02,4.654189875240931362e-02,4.263325621764143397e-02,3.714881391584910070e-02,3.568176365434128083e-02,3.574660454871596282e-02,3.580220067728731581e-02
5.516418891761520893e-02,-4.116660470091340618e-02,-8.709947312824037335e-02,3.193189272640080401e-02,2.523005106006847437e-02,2.318584701911728663e-02,2.341505922999263106e-02,2.344791796590417823e-02,2.337082008592804988e-02,4.665902426066757813e-02,4.208885971328953091e-02,3.676659052217418761e-02,3.516868059664292334e-02,3.492038016648499332e-02,3.412350767752508202e-02
7.084469923881027420e-02,-2.655296368951819141e-02,-8.057804435101306728e-02,3.208870868709696317e-02,2.428116983751403210e-02,2.203682860743971100e-02,2.248134791864250803e-02,2.284044086515667898e-02,2.312375935747209427e-02,4.777098041302223208e-02,4.176517628906199070e-02,3.634336774436596612e-02,3.467830598303453526e-02,3.449512426187537756e-02,3.306970613127968583e-02
4.991594392612730413e-02,-5.570945030264057296e-02,-1.051572318955836111e-01,3.203904879718696974e-02,2.466920713080085828e-02,2.250102453308780795e-02,2.310165036550677203e-02,2.356222728251357659e-02,2.369868999735873921e-02,4.785952202614614237e-02,4.165448566671092062e-02,3.644850185529675130e-02,3.483582013881567074e-02,3.469069341515544636e-02,3.302687919684577089e-02
4.678851988626725467e-02,-1.481658274961611399e-02,-6.598144241461444126e-02,3.224696578729451674e-02,2.453846547021794333e-02,2.221169977521440797e-02,2.276417013056357408e-02,2.323902922080082686e-02,2.336568545833861074e-02,4.804385376222788939e-02,4.167902342596853382e-02,3.677226946362751464e-02,3.506774712904035807e-02,3.473058631559652193e-02,3.242556448846393991e-02
3.806440416809733773e-02,2.822572859622004410e-03,-4.785732050495591916e-02,3.246840524567420894e-02,2.443920665164118350e-02,2.169221766369412371e-02,2.222739808589557775e-02,2.277154488103468391e-02,2.287668010155627374e-02,4.860376072728865571e-02,4.138379797049425435e-02,3.638782457443979351e-02,3.473453583145388879e-02,3.432552438997287653e-02,3.246448395240734974e-02
4.576257118292655079e-02,6.236531305119780155e-03,-4.982863285960850014e-02,3.282778713478006621e-02,2.450356053165466882e-02,2.162550310744359647e-02,2.206402913613673966e-02,2.249979112388200697e-02,2.241942061773569139e-02,4.903815226095468299e-02,4.045657284673465776e-02,3.582135239190120668e-02,3.429735413615551259e-02,3.378870959458474960e-02,3.190949017949493149e-02
3.773464485333078572e-02,2.961809141319753352e-03,-4.346511772715135058e-02,3.275879103082098703e-02,2.437747508780083172e-02,2.179590114285112276e-02,2.234977067187919608e-02,2.278795867657084501e-02,2.272641718087632309e-02,4.910142505773449489e-02,4.080622556565342840e-02,3.701801763328860240e-02,3.562087049300081965e-02,3.509092633991240523e-02,3.300491937409547050e-02
